season,team_abbr,win_total,source
2021,ARI,11.5,sportsbettingdime.com closing line archive
2021,ATL,7.5,sportsbettingdime.com closing line archive
2021,BAL,9.5,sportsbettingdime.com closing line archive
2021,BUF,10.5,sportsbettingdime.com closing line archive
2021,CAR,5.5,sportsbettingdime.com closing line archive
2021,CHI,5.5,sportsbettingdime.com closing line archive
2021,CIN,9.5,sportsbettingdime.com closing line archive
2021,CLE,8.5,sportsbettingdime.com closing line archive
2021,DAL,11.5,sportsbettingdime.com closing line archive
2021,DEN,8.5,sportsbettingdime.com closing line archive
2021,DET,2.5,sportsbettingdime.com closing line archive
2021,GB,13.5,sportsbettingdime.com closing line archive
2021,HOU,3.5,sportsbettingdime.com closing line archive
2021,IND,9.5,sportsbettingdime.com closing line archive
2021,JAX,2.5,sportsbettingdime.com closing line archive
2021,KC,12.5,sportsbettingdime.com closing line archive
2021,LV,8.5,sportsbettingdime.com closing line archive
2021,LAC,10.5,sportsbettingdime.com closing line archive
2021,LA,11.5,sportsbettingdime.com closing line archive
2021,MIA,8.5,sportsbettingdime.com closing line archive
2021,MIN,8.5,sportsbettingdime.com closing line archive
2021,NE,11.5,sportsbettingdime.com closing line archive
2021,NO,8.5,sportsbettingdime.com closing line archive
2021,NYG,5.5,sportsbettingdime.com closing line archive
2021,NYJ,3.5,sportsbettingdime.com closing line archive
2021,PHI,8.5,sportsbettingdime.com closing line archive
2021,PIT,7.5,sportsbettingdime.com closing line archive
2021,SF,9.5,sportsbettingdime.com closing line archive
2021,SEA,6.5,sportsbettingdime.com closing line archive
2021,TB,12.5,sportsbettingdime.com closing line archive
2021,TEN,10.5,sportsbettingdime.com closing line archive
2021,WAS,7.5,sportsbettingdime.com closing line archive
2026,ARI,3.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,ATL,6.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,BAL,11.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,BUF,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CAR,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CHI,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CIN,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CLE,5.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,DAL,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,DEN,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,DET,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,GB,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,HOU,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,IND,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,JAX,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,KC,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,LV,5.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,LAC,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,LA,11.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,MIA,4.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,MIN,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NE,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NO,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NYG,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NYJ,5.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,PHI,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,PIT,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,SF,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,SEA,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,TB,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,TEN,6.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,WAS,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
